ID,income,noproducts,didrespond
0,57052.9300357497,2,0
1,29838.305624297605,2,0
2,31943.56111490224,1,0
3,40282.218287199044,2,0
4,45470.45208734864,4,0
5,50293.54503342362,1,0
6,52133.718321998254,1,0
7,32778.43851531775,2,0
8,26585.107711540215,0,0
9,23182.627596951188,3,0
10,34463.498504811636,0,0
11,36370.991490859815,1,0
12,70108.85745609096,3,0
13,48597.15392506974,2,1
14,39031.73554080528,0,0
15,34628.89817150691,0,0
16,52510.980218210025,3,0
17,33970.69126419472,2,0
18,51885.33220501151,2,0
19,40242.65711028017,1,0
20,6588.524529952087,1,0
21,44128.87569346957,3,0
22,31913.493566300294,1,0
23,42624.95123412825,2,0
24,53433.736331303735,0,0
25,41252.55379121589,1,0
26,55048.39069290643,6,0
27,32544.725425888275,2,0
28,44845.387629374316,1,0
29,49314.68913513611,2,0
30,10656.67090396789,1,0
31,50237.29615413714,1,0
32,52226.47121950437,1,0
33,39219.424581654406,1,0
34,53098.71180936306,0,0
35,45172.83582079706,5,0
36,50961.26978146162,2,0
37,27556.479799825094,3,0
38,0.0,0,0
39,41635.54524380008,3,0
40,70600.76015947582,7,0
41,39592.49888965115,2,0
42,51798.24451394146,0,0
43,42491.66219172217,1,0
44,42962.950698423076,1,0
45,46018.72486667101,4,0
46,64212.241187129956,4,0
47,43484.506005168354,1,0
48,41852.11924410514,3,0
49,33743.27874754967,3,0
50,56996.23820119321,1,0
51,33649.18678758258,2,0
52,43606.02435857124,3,0
53,41578.789318239375,1,0
54,35450.4587634625,3,0
55,40554.13931922568,0,0
56,37249.33568417922,1,0
57,35549.310289432455,3,0
58,53962.62443610196,5,0
59,53220.47541187535,3,1
60,0.0,0,0
61,41608.07546786942,3,0
62,34378.12000889177,1,0
63,59117.27542353293,5,0
64,41520.44016123973,2,0
65,59452.15838446864,1,0
66,39393.741378653154,3,0
67,41710.401965208446,0,0
68,63810.056118644585,5,0
69,71605.5414512826,5,0
70,9304.44399430947,2,0
71,28007.373822514193,1,0
72,46978.25525702323,2,0
73,49362.007322762525,4,0
74,40868.43589901805,2,0
75,17996.739315853825,2,0
76,2256.477156709683,0,0
77,31087.565984713096,1,0
78,57973.802992606266,4,0
79,54748.315657033905,2,0
80,31863.705133922293,0,0
81,38911.29118392728,4,0
82,46316.82115266073,2,0
83,50121.574464408535,5,0
84,49983.16756440923,3,0
85,41713.34535011718,3,0
86,18158.6746025677,3,0
87,30687.18958310792,0,0
88,23712.62980374644,1,0
89,38569.883957587896,2,0
90,67860.74679388446,0,0
91,24022.674696153746,1,0
92,19773.999927595527,1,0
93,30014.49014352611,2,0
94,48492.419771386085,3,0
95,43486.42125124412,0,0
96,41175.07424005497,3,0
97,37682.00981369744,0,0
98,43965.7366454128,3,0
99,40278.70151648,3,0
100,46942.42458770341,4,0
101,26338.181404283132,1,0
102,50343.21925980074,3,0
103,40690.305194445646,1,0
104,32644.502044672776,2,0
105,64774.754704438674,4,0
106,58876.56785949403,1,0
107,65245.70105026023,2,0
108,41118.55091750137,4,0
109,30825.94739031129,3,0
110,51931.113222211294,3,0
111,44013.173774473325,3,0
112,30771.048635450825,2,0
113,8554.674784934767,1,0
114,23833.499589296775,2,0
115,37962.13840246562,0,0
116,50244.77978699166,3,0
117,41467.78415949568,3,0
118,4011.3797594813586,0,0
119,41040.45769598799,2,0
120,39029.406644514034,0,0
121,52015.04462997553,7,0
122,39842.380835599135,0,0
123,42909.744193314895,0,0
124,39281.49613960217,6,0
125,41076.700568106426,2,0
126,34782.91351837477,1,0
127,37263.81082661591,0,0
128,46812.3521041414,0,0
129,51892.33052740031,1,0
130,46569.93951320405,3,0
131,47826.09610352748,1,0
132,58721.79618073627,3,1
133,39292.81866072988,1,0
134,12176.9807130734,0,0
135,59753.74119160708,2,0
136,44300.02027003335,2,0
137,16934.087758261445,2,1
138,26466.66956886056,0,0
139,37747.23133135491,0,0
140,32792.670130535975,0,0
141,58691.49936857118,3,1
142,16827.027643727026,2,0
143,38235.92430937645,0,0
144,76937.57361298577,1,0
145,52986.762507196196,1,0
146,50577.15254847166,4,0
147,42210.11136583195,2,0
148,53230.370692711855,0,0
149,56870.955152238384,3,0
150,52139.33332964239,1,0
151,54583.26997400562,0,0
152,43319.45398055401,2,0
153,28904.73152464445,5,0
154,59702.873035441815,3,0
155,40420.389879563154,1,0
156,27018.476630933415,2,0
157,17002.92409949008,1,0
158,40467.93983455655,3,0
159,9799.911118171367,1,0
160,26969.26584379276,1,0
161,48503.07982491626,1,0
162,36937.21831095277,1,0
163,41648.4419348076,1,0
164,33956.4951778729,2,0
165,9100.683531236464,0,0
166,41566.451198965085,4,0
167,44938.23948779959,2,0
168,44407.51636667587,3,0
169,48420.15093582742,1,1
170,25154.832521405704,0,0
171,16956.966324987363,0,0
172,43628.4635551411,3,0
173,23959.797727075867,1,0
174,26956.882555953845,1,0
175,47996.38522048332,0,0
176,36848.27168594561,2,0
177,40085.051511932485,2,0
178,42432.04754878515,4,0
179,60496.02001763397,6,0
180,50818.926501723014,0,0
181,38495.09225600154,1,0
182,63971.66406686484,2,0
183,66075.91706789874,0,0
184,42839.38811396536,2,0
185,13809.89750277522,0,0
186,57291.347852200764,4,0
187,62826.99123915161,3,0
188,34956.17054397892,1,0
189,20245.83159123073,3,0
190,34589.35435020138,1,0
191,65600.4269151254,3,0
192,14345.562719855468,1,0
193,25068.903762038695,1,0
194,39816.56201838459,2,0
195,31038.598794053032,1,0
196,16625.941060326193,0,0
197,59116.49310274985,1,0
198,70749.97148623041,6,0
199,26430.009092781595,3,0
200,42235.49727991112,1,0
201,46653.46952674957,2,0
202,50151.070261870154,1,0
203,36889.205817125105,3,0
204,46610.78326187269,5,0
205,45644.430343861604,2,0
206,41897.8340011263,4,0
207,53866.52401388629,2,0
208,48539.68919807082,2,0
209,55729.77328319072,3,0
210,62625.96161561931,5,0
211,41565.6363975954,1,0
212,54744.56835343877,3,0
213,59552.96164931057,2,0
214,35085.82732180539,1,0
215,32546.31496239692,2,0
216,52425.07813147225,2,0
217,31147.765048508754,2,0
218,14932.00568497763,1,0
219,27874.356144369835,0,0
220,23769.40352719144,3,0
221,34228.9556326992,2,0
222,50954.64362292778,2,0
223,44899.097727612316,2,0
224,51412.7496801792,1,1
225,20064.036044989116,2,0
226,17102.7352819983,1,0
227,44005.21469969831,1,0
228,32950.34507447548,3,0
229,22791.723868966532,1,0
230,40086.86711482252,2,0
231,57080.66519355927,1,0
232,57116.29483807534,3,0
233,43458.91218834567,4,0
234,23870.951454885893,2,0
235,22583.507689714643,2,0
236,52371.348869607325,1,0
237,28203.594813077056,1,0
238,0.0,0,0
239,32168.941634982002,2,0
240,41080.83001979794,2,0
241,20475.249091364734,1,0
242,0.0,0,0
243,57019.72471349595,2,0
244,58544.482291159286,7,0
245,43981.70670885791,4,0
246,51633.13742908899,2,0
247,15150.446633098647,1,0
248,37530.525213865396,3,0
249,32648.744734863358,0,0
250,48631.503181839595,2,0
251,28078.851910190464,2,0
252,48117.2112739612,5,0
253,47128.10770485089,0,0
254,25952.02301368974,3,0
255,63396.708264367815,4,0
256,40599.923278578695,0,1
257,48602.454661071504,3,0
258,43481.34777227888,1,0
259,24206.11841784733,1,0
260,38395.90397628495,1,0
261,20551.236049937907,0,0
262,48272.77088515923,2,0
263,30250.22939782605,0,0
264,38637.700609011095,1,0
265,37566.705473182985,3,1
266,45978.833358940785,1,0
267,3892.9137424442815,0,0
268,51700.47538879129,2,0
269,26798.733667192195,1,0
270,18818.801741160718,1,0
271,13305.162461841457,1,0
272,20132.304186293255,0,0
273,16545.65985452933,1,0
274,49971.6376969967,2,1
275,48051.07171594006,1,0
276,9468.820454885532,0,0
277,28875.493443320753,1,0
278,35112.75238873109,2,0
279,53230.74254176427,2,0
280,28070.161974869858,1,0
281,39784.48537460881,0,0
282,48043.10561382894,2,0
283,48023.89060733374,2,0
284,48948.91160848093,2,0
285,50276.36517232099,2,0
286,39370.635549222774,1,0
